best m,c is 1.830000,10.940000 with error 18.097536 in direction 0
best m,c is 1.830000,10.950000 with error 18.093408 in direction 0
best m,c is 1.830000,10.960000 with error 18.089286 in direction 0
best m,c is 1.830000,10.970000 with error 18.085168 in direction 0
best m,c is 1.830000,10.980000 with error 18.081054 in direction 0
best m,c is 1.830000,10.990000 with error 18.076945 in direction 0
best m,c is 1.830000,11.000000 with error 18.072841 in direction 0
best m,c is 1.830000,11.010000 with error 18.068741 in direction 0
best m,c is 1.830000,11.020000 with error 18.064646 in direction 0
best m,c is 1.830000,11.030000 with error 18.060556 in direction 0
best m,c is 1.830000,11.040000 with error 18.056470 in direction 0
best m,c is 1.830000,11.050000 with error 18.052389 in direction 0
best m,c is 1.830000,11.060000 with error 18.048312 in direction 0
best m,c is 1.830000,11.070000 with error 18.044240 in direction 0
best m,c is 1.830000,11.080000 with error 18.040173 in direction 0
best m,c is 1.830000,11.090000 with error 18.036110 in direction 0
best m,c is 1.830000,11.100000 with error 18.032052 in direction 0
best m,c is 1.830000,11.110000 with error 18.027998 in direction 0
best m,c is 1.830000,11.120000 with error 18.023950 in direction 0
best m,c is 1.830000,11.130000 with error 18.019905 in direction 0
best m,c is 1.830000,11.140000 with error 18.015866 in direction 0
best m,c is 1.830000,11.150000 with error 18.011831 in direction 0
best m,c is 1.830000,11.160000 with error 18.007801 in direction 0
best m,c is 1.820000,11.170000 with error 18.003706 in direction 7
best m,c is 1.820000,11.180000 with error 17.999404 in direction 0
best m,c is 1.820000,11.190000 with error 17.995108 in direction 0
best m,c is 1.820000,11.200000 with error 17.990816 in direction 0
best m,c is 1.820000,11.210000 with error 17.986528 in direction 0
best m,c is 1.820000,11.220000 with error 17.982245 in direction 0
best m,c is 1.820000,11.230000 with error 17.977966 in direction 0
best m,c is 1.820000,11.240000 with error 17.973692 in direction 0
best m,c is 1.820000,11.250000 with error 17.969423 in direction 0
best m,c is 1.820000,11.260000 with error 17.965158 in direction 0
best m,c is 1.820000,11.270000 with error 17.960898 in direction 0
best m,c is 1.820000,11.280000 with error 17.956642 in direction 0
best m,c is 1.820000,11.290000 with error 17.952391 in direction 0
best m,c is 1.820000,11.300000 with error 17.948144 in direction 0
best m,c is 1.820000,11.310000 with error 17.943902 in direction 0
best m,c is 1.820000,11.320000 with error 17.939664 in direction 0
best m,c is 1.820000,11.330000 with error 17.935431 in direction 0
best m,c is 1.820000,11.340000 with error 17.931203 in direction 0
best m,c is 1.820000,11.350000 with error 17.926979 in direction 0
best m,c is 1.820000,11.360000 with error 17.922760 in direction 0
best m,c is 1.820000,11.370000 with error 17.918546 in direction 0
best m,c is 1.820000,11.380000 with error 17.914336 in direction 0
best m,c is 1.820000,11.390000 with error 17.910130 in direction 0
best m,c is 1.820000,11.400000 with error 17.905929 in direction 0
best m,c is 1.820000,11.410000 with error 17.901733 in direction 0
best m,c is 1.820000,11.420000 with error 17.897541 in direction 0
best m,c is 1.820000,11.430000 with error 17.893354 in direction 0
best m,c is 1.820000,11.440000 with error 17.889172 in direction 0
best m,c is 1.820000,11.450000 with error 17.884994 in direction 0
best m,c is 1.820000,11.460000 with error 17.880821 in direction 0
best m,c is 1.820000,11.470000 with error 17.876652 in direction 0
best m,c is 1.820000,11.480000 with error 17.872489 in direction 0
best m,c is 1.820000,11.490000 with error 17.868329 in direction 0
best m,c is 1.820000,11.500000 with error 17.864175 in direction 0
best m,c is 1.820000,11.510000 with error 17.860025 in direction 0
best m,c is 1.820000,11.520000 with error 17.855879 in direction 0
best m,c is 1.820000,11.530000 with error 17.851738 in direction 0
best m,c is 1.820000,11.540000 with error 17.847602 in direction 0
best m,c is 1.820000,11.550000 with error 17.843471 in direction 0
best m,c is 1.820000,11.560000 with error 17.839344 in direction 0
best m,c is 1.820000,11.570000 with error 17.835222 in direction 0
best m,c is 1.820000,11.580000 with error 17.831104 in direction 0
best m,c is 1.820000,11.590000 with error 17.826991 in direction 0
best m,c is 1.820000,11.600000 with error 17.822883 in direction 0
best m,c is 1.820000,11.610000 with error 17.818780 in direction 0
best m,c is 1.820000,11.620000 with error 17.814681 in direction 0
best m,c is 1.820000,11.630000 with error 17.810586 in direction 0
best m,c is 1.820000,11.640000 with error 17.806497 in direction 0
best m,c is 1.820000,11.650000 with error 17.802412 in direction 0
best m,c is 1.820000,11.660000 with error 17.798332 in direction 0
best m,c is 1.820000,11.670000 with error 17.794256 in direction 0
best m,c is 1.820000,11.680000 with error 17.790186 in direction 0
best m,c is 1.820000,11.690000 with error 17.786120 in direction 0
best m,c is 1.820000,11.700000 with error 17.782058 in direction 0
best m,c is 1.820000,11.710000 with error 17.778001 in direction 0
best m,c is 1.820000,11.720000 with error 17.773949 in direction 0
best m,c is 1.820000,11.730000 with error 17.769902 in direction 0
best m,c is 1.820000,11.740000 with error 17.765859 in direction 0
best m,c is 1.820000,11.750000 with error 17.761822 in direction 0
best m,c is 1.820000,11.760000 with error 17.757788 in direction 0
best m,c is 1.820000,11.770000 with error 17.753760 in direction 0
best m,c is 1.820000,11.780000 with error 17.749736 in direction 0
best m,c is 1.820000,11.790000 with error 17.745717 in direction 0
best m,c is 1.820000,11.800000 with error 17.741703 in direction 0
best m,c is 1.820000,11.810000 with error 17.737693 in direction 0
best m,c is 1.820000,11.820000 with error 17.733688 in direction 0
best m,c is 1.820000,11.830000 with error 17.729688 in direction 0
best m,c is 1.820000,11.840000 with error 17.725693 in direction 0
best m,c is 1.810000,11.850000 with error 17.721515 in direction 7
best m,c is 1.810000,11.860000 with error 17.717244 in direction 0
best m,c is 1.810000,11.870000 with error 17.712978 in direction 0
best m,c is 1.810000,11.880000 with error 17.708717 in direction 0
best m,c is 1.810000,11.890000 with error 17.704460 in direction 0
best m,c is 1.810000,11.900000 with error 17.700208 in direction 0
best m,c is 1.810000,11.910000 with error 17.695961 in direction 0
best m,c is 1.810000,11.920000 with error 17.691718 in direction 0
best m,c is 1.810000,11.930000 with error 17.687479 in direction 0
best m,c is 1.810000,11.940000 with error 17.683246 in direction 0
best m,c is 1.810000,11.950000 with error 17.679017 in direction 0
best m,c is 1.810000,11.960000 with error 17.674793 in direction 0
best m,c is 1.810000,11.970000 with error 17.670573 in direction 0
best m,c is 1.810000,11.980000 with error 17.666358 in direction 0
best m,c is 1.810000,11.990000 with error 17.662148 in direction 0
best m,c is 1.810000,12.000000 with error 17.657942 in direction 0
best m,c is 1.810000,12.010000 with error 17.653741 in direction 0
best m,c is 1.810000,12.020000 with error 17.649545 in direction 0
best m,c is 1.810000,12.030000 with error 17.645353 in direction 0
best m,c is 1.810000,12.040000 with error 17.641166 in direction 0
best m,c is 1.810000,12.050000 with error 17.636983 in direction 0
best m,c is 1.810000,12.060000 with error 17.632806 in direction 0
best m,c is 1.810000,12.070000 with error 17.628633 in direction 0
best m,c is 1.810000,12.080000 with error 17.624465 in direction 0
best m,c is 1.810000,12.090000 with error 17.620301 in direction 0
best m,c is 1.810000,12.100000 with error 17.616142 in direction 0
best m,c is 1.810000,12.110000 with error 17.611988 in direction 0
best m,c is 1.810000,12.120000 with error 17.607838 in direction 0
best m,c is 1.810000,12.130000 with error 17.603693 in direction 0
best m,c is 1.810000,12.140000 with error 17.599553 in direction 0
best m,c is 1.810000,12.150000 with error 17.595418 in direction 0
best m,c is 1.810000,12.160000 with error 17.591287 in direction 0
best m,c is 1.810000,12.170000 with error 17.587161 in direction 0
best m,c is 1.810000,12.180000 with error 17.583040 in direction 0
best m,c is 1.810000,12.190000 with error 17.578923 in direction 0
best m,c is 1.810000,12.200000 with error 17.574812 in direction 0
best m,c is 1.810000,12.210000 with error 17.570705 in direction 0
best m,c is 1.810000,12.220000 with error 17.566602 in direction 0
best m,c is 1.810000,12.230000 with error 17.562505 in direction 0
best m,c is 1.810000,12.240000 with error 17.558412 in direction 0
best m,c is 1.810000,12.250000 with error 17.554324 in direction 0
best m,c is 1.810000,12.260000 with error 17.550240 in direction 0
best m,c is 1.810000,12.270000 with error 17.546162 in direction 0
best m,c is 1.810000,12.280000 with error 17.542088 in direction 0
best m,c is 1.810000,12.290000 with error 17.538019 in direction 0
best m,c is 1.810000,12.300000 with error 17.533954 in direction 0
best m,c is 1.810000,12.310000 with error 17.529895 in direction 0
best m,c is 1.810000,12.320000 with error 17.525840 in direction 0
best m,c is 1.810000,12.330000 with error 17.521790 in direction 0
best m,c is 1.810000,12.340000 with error 17.517744 in direction 0
best m,c is 1.810000,12.350000 with error 17.513704 in direction 0
best m,c is 1.810000,12.360000 with error 17.509668 in direction 0
best m,c is 1.810000,12.370000 with error 17.505637 in direction 0
best m,c is 1.810000,12.380000 with error 17.501611 in direction 0
best m,c is 1.810000,12.390000 with error 17.497590 in direction 0
best m,c is 1.810000,12.400000 with error 17.493573 in direction 0
best m,c is 1.810000,12.410000 with error 17.489561 in direction 0
best m,c is 1.810000,12.420000 with error 17.485554 in direction 0
best m,c is 1.810000,12.430000 with error 17.481552 in direction 0
best m,c is 1.810000,12.440000 with error 17.477555 in direction 0
best m,c is 1.810000,12.450000 with error 17.473562 in direction 0
best m,c is 1.810000,12.460000 with error 17.469574 in direction 0
best m,c is 1.810000,12.470000 with error 17.465591 in direction 0
best m,c is 1.810000,12.480000 with error 17.461613 in direction 0
best m,c is 1.810000,12.490000 with error 17.457640 in direction 0
best m,c is 1.810000,12.500000 with error 17.453671 in direction 0
best m,c is 1.810000,12.510000 with error 17.449708 in direction 0
best m,c is 1.800000,12.520000 with error 17.445729 in direction 7
best m,c is 1.800000,12.530000 with error 17.441486 in direction 0
best m,c is 1.800000,12.540000 with error 17.437247 in direction 0
best m,c is 1.800000,12.550000 with error 17.433013 in direction 0
best m,c is 1.800000,12.560000 with error 17.428784 in direction 0
best m,c is 1.800000,12.570000 with error 17.424560 in direction 0
best m,c is 1.800000,12.580000 with error 17.420340 in direction 0
best m,c is 1.800000,12.590000 with error 17.416125 in direction 0
best m,c is 1.800000,12.600000 with error 17.411915 in direction 0
best m,c is 1.800000,12.610000 with error 17.407710 in direction 0
best m,c is 1.800000,12.620000 with error 17.403509 in direction 0
best m,c is 1.800000,12.630000 with error 17.399313 in direction 0
best m,c is 1.800000,12.640000 with error 17.395121 in direction 0
best m,c is 1.800000,12.650000 with error 17.390935 in direction 0
best m,c is 1.800000,12.660000 with error 17.386753 in direction 0
best m,c is 1.800000,12.670000 with error 17.382576 in direction 0
best m,c is 1.800000,12.680000 with error 17.378404 in direction 0
best m,c is 1.800000,12.690000 with error 17.374236 in direction 0
best m,c is 1.800000,12.700000 with error 17.370073 in direction 0
best m,c is 1.800000,12.710000 with error 17.365915 in direction 0
best m,c is 1.800000,12.720000 with error 17.361762 in direction 0
best m,c is 1.800000,12.730000 with error 17.357614 in direction 0
best m,c is 1.800000,12.740000 with error 17.353470 in direction 0
best m,c is 1.800000,12.750000 with error 17.349331 in direction 0
best m,c is 1.800000,12.760000 with error 17.345197 in direction 0
best m,c is 1.800000,12.770000 with error 17.341067 in direction 0
best m,c is 1.800000,12.780000 with error 17.336943 in direction 0
best m,c is 1.800000,12.790000 with error 17.332823 in direction 0
best m,c is 1.800000,12.800000 with error 17.328708 in direction 0
