,
Time elapsed,Time in second
Time elapsed was 253102353472ns or 253.102353472s,253.102353472
Time elapsed was 255443253287ns or 255.443253287s,255.443253287
Time elapsed was 253167540095ns or 253.167540095s,253.167540095
Time elapsed was 254851441321ns or 254.851441321s,254.851441321
Time elapsed was 259735098553ns or 259.735098553s,259.735098553
Time elapsed was 253735483680ns or 253.735483680s,253.73548368
Time elapsed was 252915642050ns or 252.915642050s,252.91564205
Time elapsed was 253373173341ns or 253.373173341s,253.373173341
Time elapsed was 253587828671ns or 253.587828671s,253.587828671
Time elapsed was 257031937150ns or 257.031937150s,257.03193715
Mean time,254.694375162
